trait,exp,vis,vrank,null,negp,pip,hit,q,top
Type 2 diabetes,ISLET,0.6937269,7,0.08490566037735849,447,0.9978026425831348,0,Q4,1
Type 2 diabetes,ISLET,0.1543516,1,0.08490566037735849,115,0.5796451442483095,1,Q3,0
Type 2 diabetes,ISLET,-0.40388688,9,0.08490566037735849,88,0.6345095381766789,0,Q2,0
Type 2 diabetes,ISLET,0.28563857,2,0.08490566037735849,84,0.4116968100619398,0,Q3,0
Type 2 diabetes,ISLET,-0.31762657,1,0.08490566037735849,69,1.0,1,Q2,0
Type 2 diabetes,ISLET,-0.08754038,3,0.08490566037735849,56,0.2102526929196037,0,Q3,0
Type 2 diabetes,ISLET,-0.23712823,4,0.08490566037735849,55,0.5463425678857439,0,Q2,0
Type 2 diabetes,ISLET,-0.48473865,10,0.08490566037735849,52,0.9955433354064116,0,Q1,0
Type 2 diabetes,ISLET,-0.16603702,4,0.08490566037735849,48,0.3733285735945767,0,Q3,0
Type 2 diabetes,ISLET,-0.41324517,2,0.08490566037735849,46,0.1239339066842856,0,Q2,0
Type 2 diabetes,ISLET,2.1200907,1,0.08490566037735849,43,0.9999595814071404,1,Q4,1
Type 2 diabetes,ISLET,1.5344554,8,0.08490566037735849,38,0.1959673211377103,0,Q4,1
Type 2 diabetes,ISLET,-0.65702087,6,0.08490566037735849,36,1.0,0,Q1,0
Type 2 diabetes,ISLET,0.5357302,2,0.08490566037735849,36,0.1645752457920234,0,Q4,1
Type 2 diabetes,ISLET,-0.3782042,7,0.08490566037735849,33,0.2638015301618149,0,Q2,0
Type 2 diabetes,ISLET,4.420919,8,0.08490566037735849,32,0.9641712798251252,0,Q4,1
Type 2 diabetes,ISLET,1.3104205,1,0.08490566037735849,32,0.4430480756729969,1,Q4,1
Type 2 diabetes,ISLET,8.425767,1,0.08490566037735849,32,0.8375809050815008,1,Q4,1
Type 2 diabetes,ISLET,-0.12064353,10,0.08490566037735849,31,0.2104590490276321,0,Q3,0
Type 2 diabetes,ISLET,-0.4033443,3,0.08490566037735849,30,0.174349048867853,0,Q2,0
Type 2 diabetes,ISLET,-0.32013473,6,0.08490566037735849,29,0.1852999541532702,0,Q2,0
Type 2 diabetes,ISLET,-0.52676183,1,0.08490566037735849,29,0.058036908970391,1,Q1,0
Type 2 diabetes,ISLET,-0.16301422,9,0.08490566037735849,29,0.2702704152069939,0,Q3,0
Type 2 diabetes,ISLET,-0.56349397,3,0.08490566037735849,28,0.08268197551909,0,Q1,0
Type 2 diabetes,ISLET,0.42477596,5,0.08490566037735849,27,0.6697852196198137,0,Q4,1
Type 2 diabetes,ISLET,-0.57265306,2,0.08490566037735849,26,0.933539397629888,0,Q1,0
Type 2 diabetes,ISLET,-0.35837087,6,0.08490566037735849,26,0.1919237581668919,0,Q2,0
Type 2 diabetes,ISLET,-0.52663094,10,0.08490566037735849,26,1.0,0,Q1,0
Type 2 diabetes,ISLET,-0.40791795,3,0.08490566037735849,25,0.3402654543457989,0,Q2,0
Type 2 diabetes,ISLET,3.0734065,5,0.08490566037735849,24,0.7061922866091502,0,Q4,1
Type 2 diabetes,ISLET,-0.38397714,2,0.08490566037735849,22,0.942865364926042,0,Q2,0
Type 2 diabetes,ISLET,3.2766683,5,0.08490566037735849,22,0.7935841683837477,0,Q4,1
Type 2 diabetes,ISLET,-0.65899634,6,0.08490566037735849,21,0.3716126648013718,0,Q1,0
Type 2 diabetes,ISLET,-0.22895198,2,0.08490566037735849,21,0.3079589166173766,0,Q2,0
Type 2 diabetes,ISLET,-0.19133732,9,0.08490566037735849,20,0.1012275654163333,0,Q3,0
Type 2 diabetes,ISLET,0.30291438,9,0.08490566037735849,20,0.5017878440805229,0,Q3,0
Type 2 diabetes,ISLET,-0.34381163,9,0.08490566037735849,20,0.6408776939571966,0,Q2,0
Type 2 diabetes,ISLET,-0.5801883,6,0.08490566037735849,20,0.1755935887901888,0,Q1,0
Type 2 diabetes,ISLET,-0.4955035,7,0.08490566037735849,19,0.8380897126228027,0,Q1,0
Type 2 diabetes,ISLET,-0.4461968,3,0.08490566037735849,18,0.5479493345362768,0,Q2,0
Type 2 diabetes,ISLET,-0.51078165,2,0.08490566037735849,18,0.9903137108641769,0,Q1,0
Type 2 diabetes,ISLET,-0.48252106,7,0.08490566037735849,18,0.5944155646746319,0,Q1,0
Type 2 diabetes,ISLET,-0.12567745,2,0.08490566037735849,18,0.3743386606492622,0,Q3,0
Type 2 diabetes,ISLET,-0.53634375,8,0.08490566037735849,17,0.0662787005276305,0,Q1,0
Type 2 diabetes,ISLET,-0.40021515,2,0.08490566037735849,17,0.4310116365209513,0,Q2,0
Type 2 diabetes,ISLET,-0.57258755,6,0.08490566037735849,17,0.226331247018201,0,Q1,0
Type 2 diabetes,ISLET,-0.4093523,6,0.08490566037735849,16,0.0498803307740325,0,Q2,0
Type 2 diabetes,ISLET,-0.5362717,3,0.08490566037735849,16,0.1856617081817693,0,Q1,0
Type 2 diabetes,ISLET,-0.63542306,6,0.08490566037735849,15,0.2618645800116005,0,Q1,0
Type 2 diabetes,ISLET,-0.1958604,3,0.08490566037735849,15,0.4037694524446742,0,Q3,0
Type 2 diabetes,ISLET,0.3117623,9,0.08490566037735849,15,0.9005956295723149,0,Q3,0
Type 2 diabetes,ISLET,1.0251267,11,0.08490566037735849,15,0.1569490833488666,0,Q4,1
Type 2 diabetes,ISLET,-0.3827589,4,0.08490566037735849,14,0.1552844542189187,0,Q2,0
Type 2 diabetes,ISLET,0.3821807,7,0.08490566037735849,14,0.1450692031468214,0,Q3,0
Type 2 diabetes,ISLET,-0.42500985,1,0.08490566037735849,14,0.2230637774888053,1,Q2,0
Type 2 diabetes,ISLET,-0.16778241,11,0.08490566037735849,14,0.0731401819047877,0,Q3,0
Type 2 diabetes,ISLET,0.051713835,11,0.08490566037735849,14,0.3496197442181032,0,Q3,0
Type 2 diabetes,ISLET,-0.65021104,10,0.08490566037735849,14,0.0983974505958831,0,Q1,0
Type 2 diabetes,ISLET,2.3099012,11,0.08490566037735849,14,0.8557392404368384,0,Q4,1
Type 2 diabetes,ISLET,0.14151259,8,0.08490566037735849,14,0.3836841383516567,0,Q3,0
Type 2 diabetes,ISLET,-0.31113073,7,0.08490566037735849,14,0.7336189620545178,0,Q2,0
Type 2 diabetes,ISLET,-0.44946155,6,0.08490566037735849,14,0.1681385376194253,0,Q2,0
Type 2 diabetes,ISLET,0.950224,10,0.08490566037735849,14,0.1408802003971998,0,Q4,1
Type 2 diabetes,ISLET,0.4713917,4,0.08490566037735849,14,0.2480900174647543,0,Q4,1
Type 2 diabetes,ISLET,-0.31312647,3,0.08490566037735849,14,0.2443782213708517,0,Q2,0
Type 2 diabetes,ISLET,2.9202278,4,0.08490566037735849,14,0.9835588702697602,0,Q4,1
Type 2 diabetes,ISLET,-0.07105959,1,0.08490566037735849,13,0.9582309254141944,1,Q3,0
