,ISLET,LIVER,ADIPOSE,MUSCLE,BRAIN,IMMUNE,HEART,ARTERY,LUNG,INTESTINE,SKIN
Type 2 diabetes,0.4972458,0.3624626,0.30860645,0.20237847,0.3535242,0.19257706,0.4265493,0.4937565,0.31461146,0.24078402,0.268049
Free cholesterol in large LDL,0.64908195,1.2873003,0.761283,0.5021803,0.48218158,0.24540742,0.67727494,0.7123555,0.70876175,0.4869163,0.56270224
HDL cholesterol,0.2832205,0.65191203,0.97042817,0.43284017,0.46585023,0.38468325,0.60120046,0.6660793,0.49242228,0.27946436,0.50520474
Triglycerides,-0.017494125,0.22417408,0.5604075,0.2854912,0.116055645,0.05872842,0.33502078,0.41021878,0.1910003,0.0747794,0.33620873
Alanine aminotransferase,0.7718446,1.3303074,0.6878828,0.63711196,0.54370964,0.35066324,0.6892994,0.88200533,0.7454288,0.5931669,0.6673152
Alkaline phosphatase,0.51090986,1.1631764,0.8931276,0.48209828,0.471975,0.33926213,0.54865044,0.616094,0.5712906,0.44058055,0.53466916
Crohn's disease (medication proxy),0.44344625,0.64240134,0.16071467,0.47828743,0.54414827,0.8325365,0.6154322,0.6383601,0.54721975,0.3121477,0.7555027
Ulcerative colitis,0.069175355,0.15669562,0.12800325,0.29725602,0.10104928,0.502052,0.20825028,0.30232632,0.19395246,0.07844779,0.45856836
Type 1 diabetes,0.1802009,0.19865161,0.23335183,0.23671865,0.14172712,0.82472986,0.29038382,0.3098225,0.24314675,0.16064076,0.36828327
Asthma,0.551114,0.68852836,0.5403438,0.69701326,0.4037757,0.71615595,0.76917297,0.9780425,0.8573559,0.6275551,0.9029316
Platelet count,0.3504691,0.80222434,0.5057543,0.39073032,0.39288303,0.84766126,0.70697945,0.7893782,0.44590873,0.411789,0.42996073
Atrial fibrillation,0.04168244,0.15827326,0.39834014,0.358892,0.072872505,0.109583855,0.867684,0.4509166,0.12021464,0.121668525,0.21881542
Heart rate,0.2619249,0.5986459,1.2555726,1.0067348,0.73363125,0.25559536,1.4123625,1.2651172,0.5785976,0.5130842,0.86964417
Coronary artery disease,0.1560141,0.6524334,0.7193438,0.5102648,0.18955338,0.17227064,0.61705536,0.87905926,0.39143866,0.2738915,0.40213042
Systolic blood pressure,0.0586398,0.1582742,0.09151604,0.22125703,0.0086938515,-0.010639191,0.18645114,0.17244504,0.16131274,0.05986621,0.11478299
Body mass index,0.12580317,0.08626034,0.39035195,0.1856429,0.28657487,0.09999578,0.14058718,0.22266302,0.13925354,0.024575869,0.33878744
Intelligence,-0.110217564,-0.07535313,0.080768704,0.11059396,0.14555638,-0.0026457086,0.1552979,0.19142775,-0.009446722,-0.06379767,0.073088415
Lung function (FEV1/FVC),0.24533476,0.43088093,0.7224631,0.7220251,0.4453659,0.25910628,0.8508795,0.80035204,0.70920545,0.27375677,0.5593536
Atopic dermatitis,1.0400019,1.0347633,1.2016273,0.95476705,0.89809895,2.469859,1.3060617,1.6529949,1.3997629,0.835603,1.77259
Type 2 diabetes (replication),0.18529639,0.1472213,0.3209029,0.26620573,0.23245463,0.48615697,0.25231573,0.25523442,0.13847691,0.08827888,0.2868159
